domain,cname_target,provider,has_a_record
c.urs.microsoft.com,prod-atm-wds.trafficmanager.net.,trafficmanager.net,True
clearinghouseuat.ectest.one.microsoft.com,rdslmuatfe.trafficmanager.net.,trafficmanager.net,True
si.bingads.microsoft.com,azure.si.trafficmanager.net.,trafficmanager.net,True
mona-arcade.github.com,github.github.io.,github.io,False
feedback.smartscreen.microsoft.com,feedbacksite-prod.trafficmanager.net.,trafficmanager.net,True
openisvuat.partners.extranet.microsoft.com,openisvppe.azurewebsites.net.,azurewebsites.net,False
beta.w.apprep.smartscreen.microsoft.com,prod-atm-wds.trafficmanager.net.,trafficmanager.net,True
validation.ppe.sls.microsoft.com,validation.ppe.sls.trafficmanager.net.,trafficmanager.net,False
activation.sls.microsoft.com,activation.sls.trafficmanager.net.,trafficmanager.net,True
rapport.microsoft.com,rapport.trafficmanager.net.,trafficmanager.net,False
examadmin.github.com,gh-cert-registration-prod1.azurewebsites.net.,azurewebsites.net,True
gamedevstore.partners.extranet.microsoft.com,tmp-eds-prod-global.trafficmanager.net.,trafficmanager.net,True
i.manage-beta.microsoft.com,manage-betamtls.trafficmanager.net.,trafficmanager.net,True
SpyNet2.Microsoft.com,wd-prod-cp.trafficmanager.net.,trafficmanager.net,True
brandguide.github.com,github.github.io.,github.io,True
sharedservices.api.bingads.microsoft.com,clientcenter-api-bingads.trafficmanager.net.,trafficmanager.net,True
eppasia.microsoft.com,eppasia.azurewebsites.net.,azurewebsites.net,True
validation.sls.microsoft.com,validation.sls.trafficmanager.net.,trafficmanager.net,True
campus.partners.extranet.microsoft.com,campusktlo.azurewebsites.net.,azurewebsites.net,True
ivrrcb.ectest.one.microsoft.com,ivrrcbwebapp.azurewebsites.net.,azurewebsites.net,True
beta.bingads.microsoft.com,azure-beta-bingads.trafficmanager.net.,trafficmanager.net,True
sharedservices.adcenterapi.microsoft.com,clientcenter-api-bingads.trafficmanager.net.,trafficmanager.net,True
smartscreen.microsoft.com,prod-atm-wds.trafficmanager.net.,trafficmanager.net,False
hcrs.microsoft.com,hcrs.azurewebsites.net.,azurewebsites.net,True
fe1.update.microsoft.com,redir.update.msft.com.trafficmanager.net.,trafficmanager.net,True
Beta.bingads.microsoft.com,azure-beta-bingads.trafficmanager.net.,trafficmanager.net,True
yahoo.pubcenter.microsoft.com,pubcenter.trafficmanager.net.,trafficmanager.net,True
channelinclusionsit.microsoft.com,chainsit.channeluat.cloudapp.net.akadns.net.,cloudapp.net,False
